,name,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max,address1,address2,line,station,walk_minutes
42,パークホームズ立川錦町,2018/7,34800000,73800000,2LDK,4LDK,64.15,85.26,立川市,錦町４,ＪＲ南武線,西国立,7
43,Brillia大山 Park Front,2018/12,45180000,77980000,2LDK,4LDK,56.91,83.16,板橋区,大山西町,東武東上線,大山,7
44,ウエリス新宿早稲田の森,2018/8,49980000,91980000,1LDK,3LDK,44.77,81.2,新宿区,大久保３,東京メトロ副都心線,西早稲田,3
45,ザ・レジデンス ひばりが丘,2018/11,39980000,63980000,2LDK,4LDK,58.77,85.35,西東京市,谷戸町２,西武池袋線,ひばりヶ丘,10
46,ザ・パークハウス 町田フロント,2019/2,43780000,43780000,2LDK,2LDK,56.46,56.46,町田市,原町田５,小田急線,町田,5
47,クレヴィア調布国領RESIDENCE,2018/3,53980000,69880000,3LDK,3LDK,65.87,79.06,調布市,国領町４,京王線,国領,3
48,プライムパークス品川シーサイド ザ・タワー,2019/3,39000000,97000000,1LDK,4LDK,53.38,91.79,品川区,東品川４,りんかい線,品川シーサイド,3
49,パークホームズ本郷 ザ レジデンス,2018/11,57000000,100000000,1LDK,3LDK,43.98,100.17,文京区,本郷６,都営大江戸線,春日,5
50,プラウド銀座東レジデンス,2019/3,71000000,100000000,2LDK,2LDK,58.05,85.61,中央区,明石町,東京メトロ有楽町線,新富町,2
52,ウエリス武蔵野富士見町,2017/11,25300000,39400000,3LDK,3LDK,68.6,84.74,東村山市,富士見町１,西武国分寺線,小川,14
53,ファインシティ王子神谷リバー＆フォレスト,2017/11,25980000,35980000,3LDK,3LDK,67.84,70.2,足立区,新田１,東京メトロ南北線,王子神谷,15
54,クリオ レジダンス八王子ザ・マークス,2019/3,27940000,65980000,1LDK,3LDK,32.25,82.03,八王子市,旭町,ＪＲ中央線,八王子,3
55,メイツ北綾瀬　トレエッセ,2017/11,29000000,45000000,3LDK,3LDK,68.42,83.5,足立区,加平２,東京メトロ千代田線,北綾瀬,10
56,レーベン青砥LICELT,2018/2,29000000,39000000,3LDK,3LDK,62.17,82.35,葛飾区,高砂１,京成本線,青砥,9
57,アデニウム板橋浮間公園,2017/12、2017/11,29000000,43000000,2LDK,3LDK,54.05,67.1,板橋区,舟渡２,ＪＲ埼京線,浮間舟渡,8
58,武蔵野富士見 ザ・レジデンス,2017/11,29000000,40000000,3LDK,3LDK,65.78,73.2,東村山市,富士見町１,西武国分寺線,小川,9
59,インプレスト コア 赤羽,2019/3,29980000,50580000,1LDK,1LDK,33.02,54.84,北区,岩淵町,ＪＲ京浜東北線,赤羽,10
60,ネベル巣鴨,2017/11,33000000,53000000,1LDK,1LDK,38.17,56.48,豊島区,西巣鴨４,都営三田線,西巣鴨,6
61,レーベン新小岩innovia,2017/11,33000000,54000000,3LDK,3LDK,65.88,80.94,江戸川区,本一色１,ＪＲ総武線,新小岩,17
62,ルフォン小平美園町ザ・レジデンス,2017/11,35900000,41900000,3LDK,3LDK,68.32,80.38,小平市,美園町２,西武新宿線,小平,3
63,アトラス白金高輪,2018/4,38500000,100000000,1K,3LDK,31.29,116.81,港区,三田５,東京メトロ南北線,白金高輪,6
64,イニシア田端ツインマークス,2018/8,39000000,56000000,2LDK,2LDK,64.38,64.38,北区,田端新町２,ＪＲ山手線,田端,10
65,ヴェレーナシティ 東京イーストガーデンズ,2018/8,41000000,64000000,3LDK,3LDK,66.31,83.42,江東区,東砂７,東京メトロ東西線,南砂町,12
66,リリーゼ光が丘アベニュー,2018/6,42500000,49700000,2LDK+S,3LDK,68.17,72.97,練馬区,土支田２,都営大江戸線,光が丘,14
67,ジオ多摩センター,2017/11,43700000,56100000,3LDK,4LDK,76.85,95.36,多摩市,鶴牧３,京王相模原線,京王多摩センター,12
68,クレヴィア御茶ノ水,2018/3,44400000,91900000,1LDK,1LDK,36.41,72.17,文京区,湯島２,東京メトロ丸ノ内線,御茶ノ水,7
69,コディア八幡山,2017/11,44980000,63480000,2LDK,2LDK,54.05,63.42,杉並区,上高井戸１,京王線,八幡山,6
70,グランリビオ ザ・レジデンス,2018/4,45900000,64400000,1LDK,2LDK,40.4,54.74,文京区,湯島３,東京メトロ千代田線,湯島,4
71,ルネ世田谷千歳台 AYUMIE,2017/11,50980000,50980000,3LDK,3LDK,66.96,66.96,世田谷区,千歳台６,京王線,千歳烏山,17
72,ルフォン入谷 ザ・レジデンス 上野の杜,2017/11,52980000,66480000,2LDK,2LDK,57.59,74.17,台東区,下谷３,東京メトロ日比谷線,入谷,5
73,ウエリス世田谷砧,2018/4、2018/2,53000000,72000000,2LDK+S,4LDK,70.04,82.1,世田谷区,砧１,小田急線,祖師ヶ谷大蔵,15
74,アトラス本郷三丁目,2019/3,53500000,100000000,1LDK,1LDK,44.65,79.38,文京区,本郷３,東京メトロ丸ノ内線,本郷三丁目,3
